חודש חישוב,חודש תחולה,חשבות,סמל מוטב,שם מוטב,קוד נושא,תאור נושא,סך הכל מגיע,שולם,הפרש לתשלום,יתרת חוב,יתרת ביצוע החודש,הערות
2/2026,07/2025,מטה,10406544,עירית כפר קרע,047,פסיכולוגים חינוכיים,48921.09,92209.35,-43288.26,0,-43288.26
2/2026,06/2025,מטה,10406544,עירית כפר קרע,047,פסיכולוגים חינוכיים,44451.29,108577.72,-64126.43,0,-64126.43
2/2026,05/2025,מטה,10406544,עירית כפר קרע,047,פסיכולוגים חינוכיים,34818.05,78907.4,-44089.35,0,-44089.35
2/2026,04/2025,מטה,10406544,עירית כפר קרע,047,פסיכולוגים חינוכיים,34818.05,78907.4,-44089.35,0,-44089.35
2/2026,03/2025,מטה,10406544,עירית כפר קרע,047,פסיכולוגים חינוכיים,57323.05,100546.74,-43223.69,0,-43223.69
2/2026,02/2026,מטה,10406544,עירית כפר קרע,047,פסיכולוגים חינוכיים,60494.81,0,60494.81,0,60494.81
2/2026,02/2025,מטה,10406544,עירית כפר קרע,047,פסיכולוגים חינוכיים,34818.05,78041.74,-43223.69,0,-43223.69
2/2026,01/2026,מטה,10406544,עירית כפר קרע,047,פסיכולוגים חינוכיים,45117.75,80087.22,-34969.47,0,-34969.47
2/2026,01/2026,מטה,10406544,עירית כפר קרע,047,פסיכולוגים חינוכיים,-267918,0,-267918,0,-267918,ניכוי מקדמה
2/2026,01/2025,מטה,10406544,עירית כפר קרע,047,פסיכולוגים חינוכיים,34818.05,78041.74,-43223.69,0,-43223.69
2/2026,12/2025,מטה,10406544,עירית כפר קרע,081,פס' מתמחים ברשויות,46546.22,0,46546.22,0,46546.22
2/2026,11/2025,מטה,10406544,עירית כפר קרע,081,פס' מתמחים ברשויות,46546.22,0,46546.22,0,46546.22
2/2026,10/2025,מטה,10406544,עירית כפר קרע,081,פס' מתמחים ברשויות,49377.11,0,49377.11,0,49377.11
2/2026,09/2025,מטה,10406544,עירית כפר קרע,081,פס' מתמחים ברשויות,34973.26,0,34973.26,0,34973.26
2/2026,08/2025,מטה,10406544,עירית כפר קרע,081,פס' מתמחים ברשויות,34973.26,0,34973.26,0,34973.26
2/2026,07/2025,מטה,10406544,עירית כפר קרע,081,פס' מתמחים ברשויות,41522.93,0,41522.93,0,41522.93
2/2026,06/2025,מטה,10406544,עירית כפר קרע,081,פס' מתמחים ברשויות,55458.29,0,55458.29,0,55458.29
2/2026,05/2025,מטה,10406544,עירית כפר קרע,081,פס' מתמחים ברשויות,41332.03,0,41332.03,0,41332.03
2/2026,04/2025,מטה,10406544,עירית כפר קרע,081,פס' מתמחים ברשויות,41332.03,0,41332.03,0,41332.03
2/2026,03/2025,מטה,10406544,עירית כפר קרע,081,פס' מתמחים ברשויות,41332.03,0,41332.03,0,41332.03
2/2026,02/2026,מטה,10406544,עירית כפר קרע,081,פס' מתמחים ברשויות,48494.38,0,48494.38,0,48494.38
2/2026,02/2025,מטה,10406544,עירית כפר קרע,081,פס' מתמחים ברשויות,41332.03,0,41332.03,0,41332.03
2/2026,01/2026,מטה,10406544,עירית כפר קרע,081,פס' מתמחים ברשויות,48494.38,0,48494.38,0,48494.38
2/2026,01/2025,מטה,10406544,עירית כפר קרע,081,פס' מתמחים ברשויות,41332.03,0,41332.03,0,41332.03
2/2026,02/2026,מטה,10406544,עירית כפר קרע,088,דמי שתיה,885.7,0,885.7,0,885.7
2/2026,02/2026,מטה,10406544,עירית כפר קרע,091,שפ"י (שעות הדרכה),2838,0,2838,0,2838
2/2026,01/2026,מטה,10406544,עירית כפר קרע,091,שפ"י (שעות הדרכה),2838,0,2838,0,2838
2/2026,02/2026,מטה,10406544,עירית כפר קרע,092,רכב מנהלים בתי'ס ע'י,836.5,0,836.5,0,836.5
2/2026,02/2026,מטה,10406544,עירית כפר קרע,101,רכב סגני מנהלים,814.89,0,814.89,0,814.89
2/2026,02/2026,מטה,10406544,עירית כפר קרע,105,שרתים - חוות ומרכזים,8738.64,0,8738.64,0,8738.64
2/2026,01/2026,מטה,10406544,עירית כפר קרע,105,שרתים - חוות ומרכזים,8738.64,8715.16,23.48,0,23.48
2/2026,02/2026,מטה,10406544,עירית כפר קרע,107,מזכירים,14557.83,0,14557.83,0,14557.83
2/2026,01/2026,מטה,10406544,עירית כפר קרע,107,מזכירים,14557.83,14518.56,39.27,0,39.27
2/2026,02/2026,מטה,10406544,עירית כפר קרע,109,מזכירים-חוות ומרכזים,2772.92,0,2772.92,0,2772.92
2/2026,01/2026,מטה,10406544,עירית כפר קרע,109,מזכירים-חוות ומרכזים,2772.92,2765.44,7.48,0,7.48
2/2026,02/2026,מטה,10406544,עירית כפר קרע,140,הסעות ח.מיוחד חיפה,71974.3,0,71974.3,0,71974.3
2/2026,12/2025,מטה,10406544,עירית כפר קרע,160,הזנת יוח"א,57528.17,59060.21,-1532.04,0,-1532.04
2/2026,11/2025,מטה,10406544,עירית כפר קרע,160,הזנת יוח"א,71064.2,72956.72,-1892.52,0,-1892.52
2/2026,10/2025,מטה,10406544,עירית כפר קרע,160,הזנת יוח"א,73952.55,75935.19,-1982.64,0,-1982.64
2/2026,09/2025,מטה,10406544,עירית כפר קרע,160,הזנת יוח"א,70591.07,72483.59,-1892.52,0,-1892.52
2/2026,02/2026,מטה,10406544,עירית כפר קרע,160,הזנת יוח"א,67680.19,0,67680.19,0,67680.19
2/2026,01/2026,מטה,10406544,עירית כפר קרע,160,הזנת יוח"א,47376.14,0,47376.14,0,47376.14
2/2026,02/2026,מטה,10406544,עירית כפר קרע,170,סיעות כית.ב"ס חריגות,38204.95,0,38204.95,0,38204.95
2/2026,01/2026,מטה,10406544,עירית כפר קרע,170,סיעות כית.ב"ס חריגות,38204.95,38145.45,59.5,0,59.5
2/2026,02/2026,מטה,10406544,עירית כפר קרע,171,סייעות כיתתיות,362521.35,0,362521.35,0,362521.35
2/2026,01/2026,מטה,10406544,עירית כפר קרע,171,סייעות כיתתיות,362521.35,361953.18,568.17,0,568.17
2/2026,02/2026,מטה,10406544,עירית כפר קרע,172,שרותי היקף - ח.מיוחד,11814,0,11814,0,11814
2/2026,01/2026,מטה,10406544,עירית כפר קרע,172,שרותי היקף - ח.מיוחד,11814,0,11814,0,11814
2/2026,12/2025,מטה,10406544,עירית כפר קרע,173,גמול בגרות אחוזי,30084.76,29865.62,219.14,0,219.14
2/2026,11/2025,מטה,10406544,עירית כפר קרע,173,גמול בגרות אחוזי,30084.76,29865.62,219.14,0,219.14
2/2026,10/2025,מטה,10406544,עירית כפר קרע,173,גמול בגרות אחוזי,30084.76,29865.62,219.14,0,219.14
2/2026,09/2025,מטה,10406544,עירית כפר קרע,173,גמול בגרות אחוזי,29527.78,29308.61,219.17,0,219.17
2/2026,02/2026,מטה,10406544,עירית כפר קרע,173,גמול בגרות אחוזי,30679.82,0,30679.82,0,30679.82
2/2026,01/2026,מטה,10406544,עירית כפר קרע,173,גמול בגרות אחוזי,30679.82,30442.75,237.07,0,237.07
2/2026,12/2025,מטה,10406544,עירית כפר קרע,177,גמול טיולים -חוץ בית,20105.69,20150.64,-44.95,0,-44.95
2/2026,11/2025,מטה,10406544,עירית כפר קרע,177,גמול טיולים -חוץ בית,20105.69,20150.64,-44.95,0,-44.95
2/2026,10/2025,מטה,10406544,עירית כפר קרע,177,גמול טיולים -חוץ בית,20105.69,20150.64,-44.95,0,-44.95
2/2026,09/2025,מטה,10406544,עירית כפר קרע,177,גמול טיולים -חוץ בית,19695.82,19743.3,-47.48,0,-47.48
2/2026,02/2026,מטה,10406544,עירית כפר קרע,177,גמול טיולים -חוץ בית,20214.45,0,20214.45,0,20214.45
2/2026,01/2026,מטה,10406544,עירית כפר קרע,177,גמול טיולים -חוץ בית,20214.45,20240.41,-25.96,0,-25.96
2/2026,02/2026,מטה,10406544,עירית כפר קרע,185,תשלומי הורים חומרים,7404.41,0,7404.41,0,7404.41
2/2026,12/2025,מטה,10406544,עירית כפר קרע,214,סל תל' לחט"ב,246154.65,245909.16,245.49,0,245.49
2/2026,11/2025,מטה,10406544,עירית כפר קרע,214,סל תל' לחט"ב,247619.67,247374.18,245.49,0,245.49
2/2026,10/2025,מטה,10406544,עירית כפר קרע,214,סל תל' לחט"ב,268386.72,268120.63,266.09,0,266.09
2/2026,09/2025,מטה,10406544,עירית כפר קרע,214,סל תל' לחט"ב,247611.75,247366.26,245.49,0,245.49
2/2026,02/2026,מטה,10406544,עירית כפר קרע,214,סל תל' לחט"ב,249711.16,0,249711.16,0,249711.16
2/2026,01/2026,מטה,10406544,עירית כפר קרע,214,סל תל' לחט"ב,249711.16,248775.33,935.83,0,935.83
2/2026,02/2026,מטה,10406544,עירית כפר קרע,232,אגרת שכפול יסודי,3130.78,0,3130.78,0,3130.78
2/2026,02/2026,מטה,10406544,עירית כפר קרע,242,מועדוניות ברשויות,14642.39,0,14642.39,0,14642.39
