חודש חישוב,שם מוטב,סמל מוטב,סמל מוסד,שם מוסד,חודש תחולה,טווח כיתות,קוד נושא,נושא,מספר יחידות,מספר כיתות,עלות,קוד סטטוס,סטטוס,סכום מחושב,סכום מחושב קודם,הפרש מחושב
3/2026,עירית כפר קרע,10406544,348284,חט"ב כפר קרע ב',01/2026,עצמאי - כיתה ט,214,סל תל' לחט"ב,155,0,249.04,0,פעיל,38601.2,38601.2,0
3/2026,עירית כפר קרע,10406544,348284,חט"ב כפר קרע ב',02/2026,עצמאי - כיתה ז,214,סל תל' לחט"ב,146,0,249.04,0,פעיל,36359.84,36359.84,0
3/2026,עירית כפר קרע,10406544,348284,חט"ב כפר קרע ב',02/2026,עצמאי - כיתה ח,214,סל תל' לחט"ב,153,0,249.04,0,פעיל,38103.12,38103.12,0
3/2026,עירית כפר קרע,10406544,348284,חט"ב כפר קרע ב',02/2026,עצמאי - כיתה ט,214,סל תל' לחט"ב,155,0,249.04,0,פעיל,38601.2,38601.2,0
3/2026,עירית כפר קרע,10406544,348284,חט"ב כפר קרע ב',03/2026,עצמאי - כיתה ז,214,סל תל' לחט"ב,146,0,249.04,0,פעיל,36359.84,0,36359.84
3/2026,עירית כפר קרע,10406544,348284,חט"ב כפר קרע ב',03/2026,עצמאי - כיתה ח,214,סל תל' לחט"ב,153,0,249.04,0,פעיל,38103.12,0,38103.12
3/2026,עירית כפר קרע,10406544,348284,חט"ב כפר קרע ב',03/2026,עצמאי - כיתה ט,214,סל תל' לחט"ב,155,0,249.04,0,פעיל,38601.2,0,38601.2
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,09/2024,א-ו חנ"מ,002,שרתים,0,3,2036.14,0,פעיל,6108.42,6108.42,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,09/2024,ז-יב חנ"מ,002,שרתים,0,10,1470.04,0,פעיל,14700.4,14700.4,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,10/2024,א-ו חנ"מ,002,שרתים,0,3,2240.61,0,פעיל,6721.83,6721.83,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,10/2024,ז-יב חנ"מ,002,שרתים,0,10,1617.66,0,פעיל,16176.6,16176.6,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,11/2024,א-ו חנ"מ,002,שרתים,0,3,2060.65,0,פעיל,6181.95,6181.95,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,11/2024,ז-יב חנ"מ,002,שרתים,0,10,1487.74,0,פעיל,14877.4,14877.4,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,12/2024,א-ו חנ"מ,002,שרתים,0,3,2033.27,0,פעיל,6099.81,6099.81,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,12/2024,ז-יב חנ"מ,002,שרתים,0,10,1467.96,0,פעיל,14679.6,14679.6,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,01/2025,א-ו חנ"מ,002,שרתים,0,3,2046.93,0,פעיל,6140.79,6140.79,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,01/2025,ז-יב חנ"מ,002,שרתים,0,10,1477.83,0,פעיל,14778.3,14778.3,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,02/2025,א-ו חנ"מ,002,שרתים,0,3,2046.93,0,פעיל,6140.79,6140.79,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,02/2025,ז-יב חנ"מ,002,שרתים,0,10,1477.83,0,פעיל,14778.3,14778.3,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,03/2025,א-ו חנ"מ,002,שרתים,0,3,2046.93,0,פעיל,6140.79,6140.79,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,03/2025,ז-יב חנ"מ,002,שרתים,0,10,1477.83,0,פעיל,14778.3,14778.3,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,04/2025,א-ו חנ"מ,002,שרתים,0,3,2154.19,0,פעיל,6462.57,6462.57,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,04/2025,ז-יב חנ"מ,002,שרתים,0,10,1555.27,0,פעיל,15552.7,15552.7,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,05/2025,א-ו חנ"מ,002,שרתים,0,3,2154.19,0,פעיל,6462.57,6462.57,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,05/2025,ז-יב חנ"מ,002,שרתים,0,10,1555.27,0,פעיל,15552.7,15552.7,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,06/2025,א-ו חנ"מ,002,שרתים,0,3,3425.39,0,פעיל,10276.17,10276.17,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,06/2025,ז-יב חנ"מ,002,שרתים,0,10,2473.04,0,פעיל,24730.4,24730.4,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,07/2025,א-ו חנ"מ,002,שרתים,0,3,2562.61,0,פעיל,7687.83,7687.83,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,07/2025,ז-יב חנ"מ,002,שרתים,0,10,1850.14,0,פעיל,18501.4,18501.4,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,08/2025,א-ו חנ"מ,002,שרתים,0,3,2154.19,0,פעיל,6462.57,6462.57,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,08/2025,ז-יב חנ"מ,002,שרתים,0,10,1555.27,0,פעיל,15552.7,15552.7,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,09/2025,א-ו חנ"מ,002,שרתים,0,3,2154.19,0,פעיל,6462.57,6462.57,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,09/2025,ז-יב חנ"מ,002,שרתים,0,10,1555.27,0,פעיל,15552.7,15552.7,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,10/2025,א-ו חנ"מ,002,שרתים,0,3,2339.95,0,פעיל,7019.85,7019.85,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,10/2025,ז-יב חנ"מ,002,שרתים,0,10,1689.38,0,פעיל,16893.8,16893.8,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,11/2025,א-ו חנ"מ,002,שרתים,0,3,2154.19,0,פעיל,6462.57,6462.57,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,11/2025,ז-יב חנ"מ,002,שרתים,0,10,1555.27,0,פעיל,15552.7,15552.7,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,12/2025,א-ו חנ"מ,002,שרתים,0,3,2154.19,0,פעיל,6462.57,6462.57,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,12/2025,ז-יב חנ"מ,002,שרתים,0,10,1555.27,0,פעיל,15552.7,15552.7,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,01/2026,א-ו חנ"מ,002,שרתים,0,3,2184.66,0,פעיל,6553.98,6553.98,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,01/2026,ז-יב חנ"מ,002,שרתים,0,10,1577.27,0,פעיל,15772.7,15772.7,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,02/2026,א-ו חנ"מ,002,שרתים,0,3,2184.66,0,פעיל,6553.98,6553.98,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,02/2026,ז-יב חנ"מ,002,שרתים,0,10,1577.27,0,פעיל,15772.7,15772.7,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,03/2026,א-ו חנ"מ,002,שרתים,0,3,2184.66,0,פעיל,6553.98,0,6553.98
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,03/2026,ז-יב חנ"מ,002,שרתים,0,10,1577.27,0,פעיל,15772.7,0,15772.7
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,09/2024,א-יב חנ"מ,107,מזכירים,0,13,646.11,0,פעיל,8399.43,8399.43,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,10/2024,א-יב חנ"מ,107,מזכירים,0,13,710.95,0,פעיל,9242.35,9242.35,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,11/2024,א-יב חנ"מ,107,מזכירים,0,13,653.88,0,פעיל,8500.44,8500.44,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,12/2024,א-יב חנ"מ,107,מזכירים,0,13,645.41,0,פעיל,8390.33,8390.33,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,01/2025,א-יב חנ"מ,107,מזכירים,0,13,649.74,0,פעיל,8446.62,8446.62,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,02/2025,א-יב חנ"מ,107,מזכירים,0,13,649.74,0,פעיל,8446.62,8446.62,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,03/2025,א-יב חנ"מ,107,מזכירים,0,13,649.74,0,פעיל,8446.62,8446.62,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,04/2025,א-יב חנ"מ,107,מזכירים,0,13,683.45,0,פעיל,8884.85,8884.85,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,05/2025,א-יב חנ"מ,107,מזכירים,0,13,683.45,0,פעיל,8884.85,8884.85,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,06/2025,א-יב חנ"מ,107,מזכירים,0,13,1086.59,0,פעיל,14125.67,14125.67,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,07/2025,א-יב חנ"מ,107,מזכירים,0,13,812.98,0,פעיל,10568.74,10568.74,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,08/2025,א-יב חנ"מ,107,מזכירים,0,13,683.45,0,פעיל,8884.85,8884.85,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,09/2025,א-יב חנ"מ,107,מזכירים,0,13,683.45,0,פעיל,8884.85,8884.85,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,10/2025,א-יב חנ"מ,107,מזכירים,0,13,742.36,0,פעיל,9650.68,9650.68,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,11/2025,א-יב חנ"מ,107,מזכירים,0,13,683.45,0,פעיל,8884.85,8884.85,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,12/2025,א-יב חנ"מ,107,מזכירים,0,13,683.45,0,פעיל,8884.85,8884.85,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,01/2026,א-יב חנ"מ,107,מזכירים,0,13,693.23,0,פעיל,9011.99,9011.99,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,02/2026,א-יב חנ"מ,107,מזכירים,0,13,693.23,0,פעיל,9011.99,9011.99,0
3/2026,עירית כפר קרע,10406544,384099,אלקיאן לקשר ותקשורת,03/2026,א-יב חנ"מ,107,מזכירים,0,13,693.23,0,פעיל,9011.99,0,9011.99
