חודש חישוב,חודש תחולה,סמל מוטב,שם מוטב,סמל מוסד,שם מוסד,קוד נושא,סוג נגררת,נושא,סטטוס,ותק מוסד,מספר יחידות,אחוז,עלות,סכום מחושב,סכום מחושב קודם,הפרש מחושב,תאור יחידה,אחוז משרה ללא אופק,אחוז משרה אופק,דרגת אופק,שעות אופק,ותק אופק חדש
3/2026,03/2026,10406544,עירית כפר קרע,235648,גן אלנור,402,01,העשרה חנ"מ-גנ"י-ערבי,פעיל,00,5,100,94,470,0,470,תלמידים
3/2026,03/2026,10406544,עירית כפר קרע,319335,אלשורוק,402,01,העשרה חנ"מ-גנ"י-ערבי,פעיל,00,7,100,94,658,0,658,תלמידים
3/2026,11/2024,10406544,עירית כפר קרע,318576,אלחכים,403,02,ה.נלוות ח.מיוחד-ערבי,פעיל,01,1,100,1500,1500,1500,0,כיתות - אוטיסטי
3/2026,07/2025,10406544,עירית כפר קרע,318576,אלחכים,403,02,ה.נלוות ח.מיוחד-ערבי,פעיל,01,1,100,1250,1250,1250,0,כיתות - אוטיסטי
3/2026,05/2025,10406544,עירית כפר קרע,348284,חט"ב כפר קרע ב',404,01,העשרה ח.מיוחד-ערבי,פעיל,01,12,100,216.2,2594.4,2594.4,0,תלמידים
3/2026,11/2024,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,404,02,העשרה ח.מיוחד-ערבי,פעיל,19,0,100,112.8,0,0,0,חט"ע - תלמידים
3/2026,02/2025,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,446,01,מוחזקות חדש -פריראלי,פעיל,19,987580.11,8.3,1,81969.14,81969.14,0,סכום מחושב שכ"ל
3/2026,04/2025,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,446,01,מוחזקות חדש -פריראלי,פעיל,19,973239.33,8.3,1,80778.86,80778.86,0,סכום מחושב שכ"ל
3/2026,05/2025,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,446,01,מוחזקות חדש -פריראלי,פעיל,19,971278.14,8.3,1,80616.08,80616.08,0,סכום מחושב שכ"ל
3/2026,11/2025,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,446,01,מוחזקות חדש -פריראלי,פעיל,20,1064207.37,7.61,1,80986.18,80921.21,64.97,סכום מחושב שכ"ל
3/2026,09/2025,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,575,02,מוחזקות עוז לתמורה,פעיל,20,188.85,7.56,569.98,8137.63,8127.72,9.91,ש.פרטניות מלאה
3/2026,03/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,575,02,מוחזקות עוז לתמורה,פעיל,20,192.82,7.56,583.46,8505.2,0,8505.2,ש.פרטניות מלאה
3/2026,07/2025,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,575,04,מוחזקות עוז לתמורה,פעיל,19,603.91,8.3,629.18,31537.35,31537.35,0,ש.תומכות מלאה
3/2026,01/2025,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,575,04,מוחזקות עוז לתמורה,פעיל,19,605.16,8.3,559.31,28093.17,28093.17,0,ש.תומכות מלאה
3/2026,05/2025,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,575,04,מוחזקות עוז לתמורה,פעיל,19,603.91,8.3,543.06,27220.62,27220.62,0,ש.תומכות מלאה
3/2026,09/2024,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,575,05,מוחזקות עוז לתמורה,פעיל,19,22.23,8.3,555.51,1024.96,1024.96,0,שעות תפקיד
3/2026,10/2024,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,575,05,מוחזקות עוז לתמורה,פעיל,19,22.15,8.3,555.51,1021.27,1021.27,0,שעות תפקיד
3/2026,04/2025,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,575,05,מוחזקות עוז לתמורה,פעיל,19,22.42,8.3,543.06,1010.55,1010.55,0,שעות תפקיד
3/2026,02/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,575,05,מוחזקות עוז לתמורה,פעיל,20,24.18,7.56,583.46,1066.56,1065.24,1.32,שעות תפקיד
3/2026,12/2025,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,606,01,משרות דרגות קידום,פעיל,20,10.32,100,138.44,1428.7,1428.7,0,דרגה 1
3/2026,10/2024,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,606,02,משרות דרגות קידום,פעיל,19,10.24,100,279.67,2863.82,2863.82,0,דרגה 2
3/2026,12/2024,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,606,02,משרות דרגות קידום,פעיל,19,10.24,100,279.67,2863.82,2863.82,0,דרגה 2
3/2026,08/2025,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,606,02,משרות דרגות קידום,פעיל,19,10.24,100,271.46,2779.75,2779.75,0,דרגה 2
3/2026,12/2024,10406544,עירית כפר קרע,451336,אלחנאן א',614,01,סייעת 2 והעשרה -רשמי,פעיל,00,1,94,11908.72,11194.19,11194.19,0,סייעת שניה
3/2026,11/2024,10406544,עירית כפר קרע,451351,אלאימאן,614,01,סייעת 2 והעשרה -רשמי,פעיל,00,1,94,12144.55,11415.87,11415.87,0,סייעת שניה
3/2026,04/2025,10406544,עירית כפר קרע,451351,אלאימאן,614,01,סייעת 2 והעשרה -רשמי,פעיל,00,1,94,11970.09,11251.88,11251.88,0,סייעת שניה
3/2026,05/2025,10406544,עירית כפר קרע,451419,אלאמל א',614,01,סייעת 2 והעשרה -רשמי,פעיל,00,1,94,11970.09,11251.88,11251.88,0,סייעת שניה
3/2026,02/2025,10406544,עירית כפר קרע,451435,אלסנדחאוי,614,01,סייעת 2 והעשרה -רשמי,פעיל,00,1,94,11970.09,11251.88,11251.88,0,סייעת שניה
3/2026,03/2025,10406544,עירית כפר קרע,451435,אלסנדחאוי,614,01,סייעת 2 והעשרה -רשמי,פעיל,00,1,94,11970.09,11251.88,11251.88,0,סייעת שניה
3/2026,05/2025,10406544,עירית כפר קרע,451435,אלסנדחאוי,614,01,סייעת 2 והעשרה -רשמי,פעיל,00,1,94,11970.09,11251.88,11251.88,0,סייעת שניה
3/2026,11/2024,10406544,עירית כפר קרע,642926,אלריאחין,614,01,סייעת 2 והעשרה -רשמי,פעיל,00,1,94,12144.55,11415.87,11415.87,0,סייעת שניה
3/2026,02/2025,10406544,עירית כפר קרע,642926,אלריאחין,614,01,סייעת 2 והעשרה -רשמי,פעיל,00,1,94,11970.09,11251.88,11251.88,0,סייעת שניה
3/2026,02/2026,10406544,עירית כפר קרע,451401,אלפיחאא,614,01,סייעת 2 והעשרה -רשמי,פעיל,00,1,94,12108.67,11382.14,11382.14,0,סייעת שניה
3/2026,01/2026,10406544,עירית כפר קרע,451435,אלסנדחאוי,614,01,סייעת 2 והעשרה -רשמי,פעיל,00,1,94,12108.67,11382.14,11382.14,0,סייעת שניה
3/2026,02/2026,10406544,עירית כפר קרע,451435,אלסנדחאוי,614,01,סייעת 2 והעשרה -רשמי,פעיל,00,1,94,12108.67,11382.14,11382.14,0,סייעת שניה
3/2026,03/2026,10406544,עירית כפר קרע,451336,אלחנאן א',614,01,סייעת 2 והעשרה -רשמי,פעיל,00,1,94,12108.67,11382.14,0,11382.14,סייעת שניה
3/2026,11/2025,10406544,עירית כפר קרע,451351,אלאימאן,614,01,סייעת 2 והעשרה -רשמי,פעיל,00,1,94,11970.09,11251.88,11251.88,0,סייעת שניה
3/2026,12/2025,10406544,עירית כפר קרע,451351,אלאימאן,614,01,סייעת 2 והעשרה -רשמי,פעיל,00,1,94,11970.09,11251.88,11251.88,0,סייעת שניה
3/2026,09/2025,10406544,עירית כפר קרע,642926,אלריאחין,614,01,סייעת 2 והעשרה -רשמי,פעיל,00,1,94,11970.09,11251.88,11251.88,0,סייעת שניה
3/2026,11/2025,10406544,עירית כפר קרע,642926,אלריאחין,614,01,סייעת 2 והעשרה -רשמי,פעיל,00,1,94,11970.09,11251.88,11251.88,0,סייעת שניה
3/2026,09/2025,10406544,עירית כפר קרע,451419,אלאמל א',614,02,סייעת 2 והעשרה -רשמי,פעיל,00,34,100,96.8,3291.2,3194.4,96.8,מרכיב העשרה
3/2026,09/2025,10406544,עירית כפר קרע,451369,אלופאא,614,02,סייעת 2 והעשרה -רשמי,פעיל,00,32,100,96.8,3097.6,3194.4,-96.8,מרכיב העשרה
3/2026,10/2024,10406544,עירית כפר קרע,108456,גן א',631,15,תכנית ניצנים - גנ"י,פעיל,00,28,100,305,8540,8540,0,גן
3/2026,05/2025,10406544,עירית כפר קרע,108456,גן א',631,15,תכנית ניצנים - גנ"י,פעיל,00,28,100,305,8540,8540,0,גן
3/2026,10/2024,10406544,עירית כפר קרע,108514,גן ד',631,15,תכנית ניצנים - גנ"י,פעיל,00,16,100,305,4880,4880,0,גן
3/2026,12/2024,10406544,עירית כפר קרע,108415,גן א',631,15,תכנית ניצנים - גנ"י,פעיל,00,8,100,305,2440,2440,0,גן
